Модель,FPS,Time_ms
LibreDEIMl,19.15,52.21
LibreDEIMm,24.88,40.2
LibreDEIMn,39.15,25.54
LibreDEIMs,31.72,31.52
LibreDEIMx,14.76,67.77
LibreDEIMv2l,13.23,75.59
LibreDEIMv2m,17.13,58.39
LibreDEIMv2n,39.2,25.51
LibreDEIMv2s,20.28,49.3
LibreDEIMv2x,10.92,91.59
LibreYOLO9c,32.0,31.25
LibreYOLO9m,32.86,30.43
LibreYOLO9s,38.77,25.79
LibreYOLO9t,40.75,24.54
LibreYOLO9E2Ec,33.2,30.12
LibreYOLO9E2Em,33.64,29.73
LibreYOLO9E2Es,39.52,25.31
LibreYOLO9E2Et,41.42,24.14
LibreYOLOXl,27.68,36.13
LibreYOLOXm,38.82,25.76
LibreYOLOXn,66.57,15.02
LibreYOLOXs,54.38,18.39
LibreYOLOXt,65.67,15.23
LibreYOLOXx,17.12,58.41
